Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-March-2023,873.80,876.50,865.60,867.95,871.256330261916854095,165396,7772,144102312.00,76949,46.52,10.90,-5.85
3-March-2023,855.05,873.00,849.85,868.80,865.532333820121452696,177353,5219,153504756.00,73785,41.60,23.15,13.75
2-March-2023,854.30,861.85,851.00,853.95,857.834904716372773565,89942,3357,77155387.00,38971,43.33,10.85,-0.35
1-March-2023,861.55,861.90,852.00,856.05,857.317702619398384686,95709,3624,82053020.00,31041,32.43,9.90,-5.50
28-February-2023,856.30,857.85,850.05,854.65,853.431154607653943510,159604,7878,136211026.00,66312,41.55,7.80,-1.65
27-February-2023,834.00,858.45,834.00,856.40,847.908537067805997309,126390,6235,107167160.00,39970,31.62,24.45,22.40
24-February-2023,844.00,845.40,836.00,839.65,840.367233910325540587,109418,5910,91951302.00,37324,34.11,9.40,-4.35
23-February-2023,834.00,844.00,833.55,840.10,838.869863501272445765,112382,5097,94273873.00,31230,27.79,10.45,6.10
22-February-2023,847.05,853.30,835.45,838.35,840.773837938762741209,604142,4663,507946788.00,531542,87.98,17.85,-8.70
21-February-2023,854.00,859.45,846.70,854.05,853.478582226541410214,185220,7060,158081303.00,49869,26.92,12.75,0.05
20-February-2023,863.40,866.40,850.45,852.10,859.515440447209449102,88728,5994,76263086.00,38208,43.06,15.95,-11.30
17-February-2023,869.15,869.15,855.35,862.25,861.373778618986770173,104083,4715,89654367.00,35299,33.91,13.80,-6.90
16-February-2023,875.10,877.80,865.00,869.15,872.441413308128291879,299411,11129,261218556.00,143490,47.92,12.80,-5.95
15-February-2023,865.60,873.00,860.40,870.80,865.491873061495502214,219886,10222,190309546.00,117053,53.23,12.60,5.20
14-February-2023,852.75,867.00,852.75,865.40,859.817284753020339501,261560,5367,224893809.00,99847,38.17,14.25,12.65
13-February-2023,852.35,859.05,849.20,850.30,854.050992122329521280,77561,2136,66241049.00,23155,29.85,9.85,-2.05
10-February-2023,859.00,861.90,852.20,853.75,856.210183684747890107,106759,6401,91408143.00,36260,33.96,9.70,-5.25
9-February-2023,858.00,864.65,853.65,860.95,858.801452153811089766,61426,2477,52752738.00,21627,35.21,11.00,2.95
8-February-2023,851.80,860.65,851.80,858.70,856.947673607146029208,78813,3187,67538617.00,36738,46.61,8.85,6.90
7-February-2023,853.65,855.85,847.40,851.70,851.836169298430085307,109369,3772,93164470.00,48816,44.63,8.45,-1.95
6-February-2023,863.50,867.30,850.00,853.55,856.299930404523705959,114950,4300,98431677.00,30086,26.17,17.30,-9.95
3-February-2023,870.00,872.70,852.10,863.75,863.295379049498437756,182430,5774,157490976.00,55887,30.63,20.60,-6.25
2-February-2023,838.95,860.60,826.60,857.45,843.686877971235054358,265462,14036,223966806.00,83175,31.33,34.00,18.50
1-February-2023,842.90,875.25,823.55,846.65,858.415769302048487730,8271907,19300,7100735411.00,7656111,92.56,51.70,3.75
31-January-2023,825.00,838.25,814.70,831.65,827.333303587725880706,246535,9527,203966616.00,142754,57.90,23.55,6.65
30-January-2023,801.55,826.00,796.10,823.20,811.962739171722631465,806638,33664,654960000.00,335308,41.57,29.90,21.65
27-January-2023,841.00,841.00,813.55,817.55,824.514582259148788972,612868,38952,505318603.00,324776,52.99,27.45,-23.45
25-January-2023,873.00,875.90,848.15,855.30,858.352825096188482440,191551,11561,164418342.00,81409,42.50,27.75,-17.70
24-January-2023,877.25,881.20,868.05,870.80,874.189568398766853619,107692,6509,94143223.00,50096,46.52,13.15,-6.45
23-January-2023,883.90,883.90,865.05,871.55,875.062471082920426311,490627,13993,429329275.00,148687,30.31,18.85,-12.35
20-January-2023,873.00,875.80,865.55,870.40,870.525350854885354876,169087,7818,147194520.00,67790,40.09,10.25,-2.60
19-January-2023,869.00,870.50,862.00,866.30,866.312676668841052402,68985,3296,59762580.00,28512,41.33,8.50,-2.70
18-January-2023,863.60,871.50,858.75,869.45,866.231276138128808698,167380,7357,144989791.00,71047,42.45,12.75,5.85
17-January-2023,865.55,867.70,858.00,865.50,863.207817337461300309,178296,8712,153906501.00,73189,41.05,9.70,-0.05
16-January-2023,876.10,877.60,861.75,865.55,869.092359170944058215,92346,5603,80257203.00,34547,37.41,15.85,-10.55
13-January-2023,864.25,874.95,858.30,873.25,866.329938879369869319,195515,8360,169380498.00,83217,42.56,16.65,9.00
12-January-2023,864.15,868.10,855.00,861.20,859.545093718067989446,262276,11404,225438049.00,96459,36.78,13.10,-2.95
11-January-2023,863.40,877.50,854.65,867.85,866.686475000893166786,2771039,7696,2401622023.00,2568515,92.69,22.85,4.45
10-January-2023,877.00,877.75,856.25,860.45,863.825545685503598606,339298,12019,293094280.00,229257,67.57,21.50,-16.55
9-January-2023,875.00,878.60,862.30,873.80,872.139908508744552715,692088,16416,603597565.00,478724,69.17,16.30,-1.20
6-January-2023,879.80,879.80,860.45,870.20,868.466719788417197884,117968,5930,102451282.00,52742,44.71,19.35,-9.60
5-January-2023,902.00,902.00,872.00,879.00,883.102626676602086438,161040,8482,142214847.00,67688,42.03,30.00,-23.00
4-January-2023,899.05,907.85,894.90,898.95,900.124683824751213928,216652,11134,195013813.00,119972,55.38,12.95,-0.10
3-January-2023,898.00,905.65,896.65,901.80,901.293730805180932033,119824,6155,107996620.00,57433,47.93,9.00,3.80
2-January-2023,892.30,906.60,892.30,903.00,902.385441838180151654,192016,7411,173272443.00,97956,51.01,14.30,10.70
30-December-2022,908.05,908.90,888.75,890.95,895.951761425462459194,147040,5357,131740747.00,77802,52.91,20.15,-17.10
29-December-2022,896.80,910.45,889.50,906.70,895.873445828325671385,185549,5283,166228422.00,137792,74.26,20.95,9.90
28-December-2022,899.00,904.10,896.10,898.70,899.682895600093119722,189004,7652,170043666.00,116167,61.46,8.00,-0.30
27-December-2022,901.95,902.85,888.00,900.65,894.424591156874621441,62738,3194,56114410.00,21596,34.42,14.85,-1.30
26-December-2022,877.30,897.00,875.30,892.40,886.884122014935968424,281736,10974,249867185.00,177988,63.18,21.70,15.10
23-December-2022,876.30,888.95,876.30,879.20,882.951531746394485463,240673,7295,212502594.00,134519,55.89,12.65,2.90
22-December-2022,898.30,903.00,886.05,890.40,890.417360997365884308,372421,16829,331610124.00,281443,75.57,16.95,-7.90
21-December-2022,922.95,922.95,887.00,892.35,901.813936460823198760,304568,9877,274663667.00,219049,71.92,35.95,-30.60
20-December-2022,909.75,912.50,895.80,909.45,899.225045618666770198,154542,3712,138968037.00,77949,50.44,16.70,-0.30
19-December-2022,907.20,910.40,901.00,906.20,906.447735791998087080,284382,12182,257777420.00,232640,81.81,9.40,-1.00
16-December-2022,909.65,913.55,899.45,902.25,905.454064031955456030,132184,5250,119686540.00,76898,58.17,14.10,-7.40
15-December-2022,916.80,919.75,904.45,908.60,914.815626893887999421,110553,4921,101135612.00,59887,54.17,15.30,-8.20
14-December-2022,935.50,935.70,919.95,921.00,927.177660545923026365,171929,4224,159408728.00,118372,68.85,15.75,-14.50
13-December-2022,931.00,935.90,927.70,931.80,930.511638113946868150,2681706,5801,2495358643.00,803110,29.95,8.20,0.80
12-December-2022,922.30,933.80,922.30,929.30,928.518321455500693211,328904,11177,305393390.00,264033,80.28,11.50,7.00
9-December-2022,932.00,934.75,924.80,930.65,929.667277872668207240,238872,5140,222071482.00,190646,79.81,9.95,-1.35
8-December-2022,926.60,933.75,923.95,931.55,927.392419935993554595,268098,12281,248632053.00,223484,83.36,9.80,4.95
7-December-2022,925.00,932.85,920.65,922.10,925.804342907293259374,145847,8676,135025786.00,78511,53.83,12.20,-2.90
6-December-2022,925.25,929.45,920.25,921.80,924.749733242797555533,154635,4498,142998675.00,53557,34.63,9.20,-3.45
5-December-2022,936.55,937.35,928.50,933.55,932.560031091893300814,214847,9070,200357725.00,105176,48.95,8.85,-3.00
2-December-2022,929.05,934.50,926.35,930.80,929.368777274694932902,170946,3820,158871875.00,98196,57.44,8.15,1.75
1-December-2022,953.00,957.00,936.35,939.95,944.148015101091914680,295078,11852,278597308.00,183391,62.15,20.65,-13.05
30-November-2022,947.90,958.00,941.00,953.40,948.202796419904748648,330494,9130,313375335.00,223323,67.57,17.00,5.50
29-November-2022,933.70,949.90,933.70,946.95,946.981737533800815802,698208,7224,661190225.00,616054,88.23,16.20,13.25
28-November-2022,925.00,943.60,925.00,936.45,936.912872814387770050,232086,5473,217444361.00,190611,82.13,18.60,11.45
25-November-2022,938.50,942.80,927.20,929.75,930.933193509576301499,246024,5788,229031908.00,190799,77.55,15.60,-8.75
24-November-2022,927.90,940.00,927.90,938.60,934.738208338682685442,443979,7090,415004135.00,399406,89.96,12.10,10.70
23-November-2022,927.80,931.60,924.00,927.00,927.190180765794879606,242911,4178,225224694.00,197402,81.27,7.60,-0.80
22-November-2022,922.05,926.50,920.75,922.85,923.624190856798356697,321791,5219,297213952.00,281216,87.39,5.75,0.80
21-November-2022,912.35,924.70,912.35,921.20,920.847382422224027292,295464,8493,272077251.00,239770,81.15,12.35,8.85
18-November-2022,919.00,921.90,910.60,920.60,913.471014208721215090,408200,7823,372878868.00,,,11.30,1.60
17-November-2022,913.00,922.00,910.80,919.40,919.142779495512574571,531708,11390,488715569.00,447884,84.23,11.20,6.40
16-November-2022,909.35,918.00,908.30,913.65,913.188520131368048707,343767,10395,313924078.00,231590,67.37,9.70,4.30
15-November-2022,904.80,913.50,898.50,912.10,899.237400490730643402,733600,8158,659680557.00,627853,85.59,15.00,7.30
14-November-2022,903.20,905.95,891.55,894.90,895.378065231226457897,328401,14459,294043052.00,179067,54.53,14.40,-8.30
11-November-2022,922.20,928.00,903.65,906.85,910.961077034394635501,454693,9367,414207625.00,307830,67.70,24.35,-15.35
10-November-2022,908.70,912.55,904.30,910.65,907.995419898602460352,714613,13155,648865331.00,616838,86.32,8.25,1.95
9-November-2022,917.00,921.95,906.00,911.15,909.459087009275100391,393958,7874,358288683.00,297886,75.61,15.95,-5.85
7-November-2022,909.80,919.80,903.45,917.10,909.581577207369906543,506655,11055,460844054.00,370531,73.13,16.35,7.30
4-November-2022,906.40,913.15,900.20,905.65,906.468578126596851868,479459,5694,434614518.00,339309,70.77,12.95,-0.75
3-November-2022,900.00,913.30,897.20,908.35,904.599187130782705424,7590889,6590,6866712019.00,7495026,98.74,16.10,8.35
2-November-2022,915.00,918.05,902.40,904.45,907.157879461799872435,296321,6659,268809930.00,178832,60.35,15.65,-10.55
1-November-2022,920.20,920.20,899.55,908.70,905.716105950288727090,302708,6250,274167511.00,229218,75.72,20.65,-11.50
31-October-2022,913.90,916.80,904.50,908.55,908.705051547905055951,408746,9137,371429555.00,292302,71.51,12.30,-5.35
28-October-2022,918.20,927.55,901.00,907.90,912.072007722007722007,145040,4266,132286924.00,48261,33.27,26.55,-10.30
27-October-2022,925.05,933.55,920.10,924.20,925.340231124540836038,346826,6454,320932051.00,256746,74.03,13.45,-0.85
25-October-2022,938.90,942.70,922.75,924.65,932.520283614729492943,368105,7298,343265379.00,169428,46.03,19.95,-14.25
24-October-2022,924.00,932.90,917.75,925.90,924.412938781414614697,283427,14581,262003586.00,,,15.15,1.90
21-October-2022,887.10,910.00,885.50,907.15,904.309481915933528836,404085,6768,365417897.00,246327,60.96,24.50,20.05
20-October-2022,891.00,892.90,880.25,888.25,882.843324846055221481,276885,4115,244446074.00,217329,78.49,12.65,-2.75
19-October-2022,896.75,900.05,885.90,891.70,891.213528113824849729,131430,3595,117132194.00,72423,55.10,14.15,-5.05
18-October-2022,893.20,900.40,890.95,896.75,894.926499496004989698,338297,8128,302750950.00,198600,58.71,9.45,3.55
17-October-2022,869.00,886.95,867.95,885.60,870.524841908828594363,6352189,5103,5529738325.00,6249148,98.38,19.00,16.60
14-October-2022,876.20,880.30,868.50,870.10,871.634398769691175859,529298,10311,461354344.00,401912,75.93,11.80,-6.10
13-October-2022,862.50,865.35,850.60,853.90,857.490961325966850828,90500,3632,77602932.00,41176,45.50,14.75,-8.60
12-October-2022,866.00,871.85,861.55,867.75,864.913960890621668544,262648,13540,227167922.00,196831,74.94,10.30,1.75
11-October-2022,884.00,884.00,865.60,869.50,877.429906380514701910,462831,9159,406101761.00,397212,85.82,18.40,-14.50
10-October-2022,869.10,889.65,869.10,881.50,882.149262680726032523,652092,12228,575242477.00,548131,84.06,20.55,12.40
7-October-2022,876.40,884.40,873.15,882.00,877.454049453121675107,117485,3509,103087689.00,64226,54.67,11.25,5.60
6-October-2022,870.00,891.50,870.00,885.35,883.572211923955683924,347955,11178,307443369.00,237511,68.26,21.50,15.35
4-October-2022,862.00,872.35,862.00,867.65,868.406651557388499573,479617,6845,416502593.00,392664,81.87,10.35,5.65
3-October-2022,860.00,860.50,846.05,848.05,851.947326059334487888,221153,10664,188410707.00,96202,43.50,14.45,-11.95
